f127.0.0.1:2222,127.0.0.1:1111	0	1	0	0	0
f127.0.0.1:2222,127.0.0.1:1111	5	0
f127.0.0.1:1111,127.0.0.1:2222	6	1	0	0	1
f127.0.0.1:1111,127.0.0.1:2222	6	0
f127.0.0.1:2222,127.0.0.1:1111	6	1	0	0	2
f127.0.0.1:2222,127.0.0.1:1111	12	0
f127.0.0.1:1111,127.0.0.1:2222	13	1	1	0	3
f127.0.0.1:1111,127.0.0.1:2222	17	0
f127.0.0.1:2222,127.0.0.1:1111	17	1	0	1	4
f127.0.0.1:2222,127.0.0.1:1111	23	0
f127.0.0.1:1111,127.0.0.1:2222	23	1	2	0	3
f127.0.0.1:1111,127.0.0.1:2222	23	2	3	0	3
f127.0.0.1:1111,127.0.0.1:2222	27	1
f127.0.0.1:2222,127.0.0.1:1111	27	2	0	2	4
f127.0.0.1:1111,127.0.0.1:2222	31	1
f127.0.0.1:2222,127.0.0.1:1111	31	2	0	3	4
f127.0.0.1:2222,127.0.0.1:1111	33	1
f127.0.0.1:1111,127.0.0.1:2222	33	2	4	0	3
f127.0.0.1:1111,127.0.0.1:2222	33	1
f127.0.0.1:1111,127.0.0.1:2222	33	-1	4	0
f127.0.0.1:1111,127.0.0.1:2222	33	2	5	0	3
f127.0.0.1:1111,127.0.0.1:2222	37	1
f127.0.0.1:2222,127.0.0.1:1111	37	2	0	3	4
f127.0.0.1:2222,127.0.0.1:1111	42	1
f127.0.0.1:1111,127.0.0.1:2222	43	2	6	0	3
f127.0.0.1:1111,127.0.0.1:2222	43	3	7	0	3
f127.0.0.1:1111,127.0.0.1:2222	43	2
f127.0.0.1:1111,127.0.0.1:2222	43	-1	7	0
f127.0.0.1:1111,127.0.0.1:2222	47	1
f127.0.0.1:2222,127.0.0.1:1111	47	2	0	3	4
f127.0.0.1:2222,127.0.0.1:1111	49	1
f127.0.0.1:2222,127.0.0.1:1111	58	0
f127.0.0.1:1111,127.0.0.1:2222	1043	1	4	0	3
f127.0.0.1:1111,127.0.0.1:2222	1047	0
f127.0.0.1:2222,127.0.0.1:1111	1047	1	0	4	4
f127.0.0.1:2222,127.0.0.1:1111	1053	0
f127.0.0.1:1111,127.0.0.1:2222	1053	1	5	0	3
f127.0.0.1:1111,127.0.0.1:2222	1053	2	6	0	3
f127.0.0.1:1111,127.0.0.1:2222	1057	1
f127.0.0.1:2222,127.0.0.1:1111	1057	2	0	5	4
f127.0.0.1:1111,127.0.0.1:2222	1061	1
f127.0.0.1:2222,127.0.0.1:1111	1061	2	0	6	4
f127.0.0.1:2222,127.0.0.1:1111	1063	1
f127.0.0.1:1111,127.0.0.1:2222	1063	2	7	0	3
f127.0.0.1:1111,127.0.0.1:2222	1068	1
f127.0.0.1:2222,127.0.0.1:1111	1068	2	0	7	4
f127.0.0.1:2222,127.0.0.1:1111	1073	1
f127.0.0.1:1111,127.0.0.1:2222	1073	2	8	0	3
f127.0.0.1:1111,127.0.0.1:2222	1073	3	9	0	3
f127.0.0.1:1111,127.0.0.1:2222	1077	2
f127.0.0.1:2222,127.0.0.1:1111	1077	3	0	8	4
f127.0.0.1:2222,127.0.0.1:1111	1079	2
f127.0.0.1:1111,127.0.0.1:2222	1080	3	10	0	3
f127.0.0.1:1111,127.0.0.1:2222	1081	2
f127.0.0.1:2222,127.0.0.1:1111	1081	3	0	9	4
f127.0.0.1:1111,127.0.0.1:2222	1088	2
f127.0.0.1:2222,127.0.0.1:1111	1088	3	0	10	4
f127.0.0.1:2222,127.0.0.1:1111	1088	2
f127.0.0.1:1111,127.0.0.1:2222	1088	3	11	0	3
f127.0.0.1:1111,127.0.0.1:2222	1092	2
f127.0.0.1:2222,127.0.0.1:1111	1093	1
f127.0.0.1:2222,127.0.0.1:1111	1093	2	0	11	4
f127.0.0.1:1111,127.0.0.1:2222	1094	3	12	0	3
f127.0.0.1:1111,127.0.0.1:2222	1094	4	13	0	3
f127.0.0.1:1111,127.0.0.1:2222	1098	3
f127.0.0.1:2222,127.0.0.1:1111	1098	4	0	12	4
f127.0.0.1:1111,127.0.0.1:2222	1102	3
f127.0.0.1:2222,127.0.0.1:1111	1102	4	0	13	4
f127.0.0.1:2222,127.0.0.1:1111	1104	3
f127.0.0.1:2222,127.0.0.1:1111	1104	2
f127.0.0.1:1111,127.0.0.1:2222	1105	3	14	0	3
f127.0.0.1:1111,127.0.0.1:2222	1105	2
f127.0.0.1:1111,127.0.0.1:2222	1105	-1	14	0
f127.0.0.1:1111,127.0.0.1:2222	1105	3	15	0	3
f127.0.0.1:1111,127.0.0.1:2222	1109	2
f127.0.0.1:2222,127.0.0.1:1111	1109	3	0	13	4
f127.0.0.1:2222,127.0.0.1:1111	1109	2
f127.0.0.1:2222,127.0.0.1:1111	1109	-1	0	13
f127.0.0.1:2222,127.0.0.1:1111	1115	1
f127.0.0.1:1111,127.0.0.1:2222	1115	2	16	0	3
f127.0.0.1:1111,127.0.0.1:2222	1120	1
f127.0.0.1:2222,127.0.0.1:1111	1120	2	0	13	4
f127.0.0.1:2222,127.0.0.1:1111	1124	1
f127.0.0.1:1111,127.0.0.1:2222	1125	2	17	0	3
f127.0.0.1:1111,127.0.0.1:2222	1125	3	18	0	3
f127.0.0.1:1111,127.0.0.1:2222	1125	2
f127.0.0.1:1111,127.0.0.1:2222	1125	-1	18	0
f127.0.0.1:1111,127.0.0.1:2222	1129	1
f127.0.0.1:2222,127.0.0.1:1111	1129	2	0	13	4
f127.0.0.1:2222,127.0.0.1:1111	1131	1
f127.0.0.1:2222,127.0.0.1:1111	1140	0
f127.0.0.1:1111,127.0.0.1:2222	2125	1	14	0	3
f127.0.0.1:1111,127.0.0.1:2222	2129	0
f127.0.0.1:2222,127.0.0.1:1111	2134	1	0	14	4
f127.0.0.1:2222,127.0.0.1:1111	2140	0
f127.0.0.1:1111,127.0.0.1:2222	2140	1	15	0	3
f127.0.0.1:1111,127.0.0.1:2222	2140	2	16	0	3
f127.0.0.1:1111,127.0.0.1:2222	2144	1
f127.0.0.1:2222,127.0.0.1:1111	2144	2	0	15	4
f127.0.0.1:1111,127.0.0.1:2222	2148	1
f127.0.0.1:2222,127.0.0.1:1111	2148	2	0	16	4
f127.0.0.1:2222,127.0.0.1:1111	2150	1
f127.0.0.1:1111,127.0.0.1:2222	2150	2	17	0	3
f127.0.0.1:1111,127.0.0.1:2222	2154	1
f127.0.0.1:2222,127.0.0.1:1111	2154	2	0	17	4
f127.0.0.1:2222,127.0.0.1:1111	2160	1
f127.0.0.1:1111,127.0.0.1:2222	2160	2	18	0	3
